board_state,macroboard,current_player,valid_moves,chosen_move,game_result,agent_level,move_number,final_result
"1,0,0,1,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"10,11,12,13,15,16,17",10,-1,Easy,9,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,12,13,15,16,17",17,-1,Random,10,0
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"72,73,74,75,76,77,78,79,80",72,-1,Easy,11,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,12,13,15,16,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,79,80",33,-1,Random,12,0
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"55,56,57,58,59,60,61,62",55,-1,Easy,13,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,12,13,15,16",16,-1,Random,14,0
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"63,64,65,66,67,68,69,70,71",63,-1,Easy,15,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,12,13,15,18,19,20,21,22,23,24,25,26,28,29,30,31,32,34,35,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,73,74,75,76,77,78,79,80",25,-1,Random,16,0
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"64,65,66,67,68,69,70,71",64,-1,Easy,17,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,12,13,15",12,-1,Random,18,0
"1,0,0,1,0,0,1,0,0,-1,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",-1,"28,29,30,31,32,34,35",28,-1,Easy,19,1
"1,0,0,1,0,0,1,0,0,-1,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0",1,"11,13,15",11,-1,Random,20,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,1,0,0,0,0,0,0,0",-1,"18,19,20,21,22,23,24,26",18,-1,Easy,21,1
